"","JavaFile","AvgCyclomatic","AvgCyclomaticModified","AvgCyclomaticStrict","AvgEssential","AvgLine","AvgLineBlank","AvgLineCode","AvgLineComment","CountDeclClass","CountDeclClassMethod","CountDeclClassVariable","CountDeclExecutableUnit","CountDeclFunction","CountDeclInstanceMethod","CountDeclInstanceVariable","CountDeclMethod","CountDeclMethodDefault","CountDeclMethodPrivate","CountDeclMethodProtected","CountDeclMethodPublic","CountLine","CountLineBlank","CountLineCode","CountLineCodeDecl","CountLineCodeExe","CountLineComment","CountSemicolon","CountStmt","CountStmtDecl","CountStmtExe","MaxCyclomatic","MaxCyclomaticModified","MaxCyclomaticStrict","MaxEssential","MaxNesting","RatioCommentToCode","SumCyclomatic","SumCyclomaticModified","SumCyclomaticStrict","SumEssential","UniqueAuthors","TotalCodeChurn","TotalNumOfChanges","PostReleaseBugs","PreReleaseBugs","CatchQuantity","CatchSLOC","CatchLOC","OverCatchAntiPattern","AbortAndOvercatch","CatchAndReturnNull","CatchAndDoNothing","CatchGeneric","DummyHandler","LogAndReturnNull","MultiLineLog","NestedTry","RelyingOnGetCause","IncompleteImplementation","DestructiveWrapping","CatchRecoverability","AbortPercent","ReturnPercent","EmptyAction","NestedTryPercent","ThrowNewPercent","ToDoCount","DefaultPercent","LogActionCount","MethodCountPercent","ThrowCurrentPercent","ThrowWrapPercent","TryCallDepth","TryQuantity","TrySLOC","TryLOC","TryInvokeMethod","TryScope"
"1","hadoop-client-modules/hadoop-client-integration-tests/src/test/java/org/apache/hadoop/example/ITUseMiniCluster.java",1,1,1,1,7,0,7,0,1,0,4,5,5,5,1,5,0,0,0,5,115,18,74,38,32,23,35,47,32,15,2,2,2,1,1,0.31,7,7,7,5,2,125,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,3,4
"2","hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/RootDocProcessor.java",6,6,7,5,19,0,19,0,2,5,3,9,9,4,1,9,0,6,0,3,251,19,209,54,130,23,83,143,52,91,26,26,30,24,4,0.11,56,56,66,45,6,267,4,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,100,0,0,0,0,100,0,0,0,0,0,0,1,1,1,1,1
"3","hadoop-common-project/hadoop-auth-examples/src/main/java/org/apache/hadoop/security/authentication/examples/RequestLoggerFilter.java",1,1,1,1,7,0,7,0,3,0,1,15,15,15,3,15,0,1,0,14,195,21,148,67,65,26,75,105,56,49,5,5,5,1,2,0.18,24,24,25,15,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1
"4","hadoop-common-project/hadoop-auth-examples/src/main/java/org/apache/hadoop/security/authentication/examples/WhoClient.java",5,5,5,1,31,0,31,0,1,1,0,1,1,0,0,1,0,0,0,1,60,4,40,15,24,16,24,30,14,16,5,5,5,1,3,0.4,5,5,5,1,3,5,1,0,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,1,10,10,9,1
"5","hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/AuthenticatedURL.java",2,2,2,1,14,0,8,5,3,4,3,20,20,16,5,20,2,3,1,14,405,32,203,68,105,171,91,141,62,79,6,6,8,4,4,0.84,44,44,50,23,10,279,9,0,0,2,3,4,0,0,0,0,2,0,0,0,0,0,0,0,2,100,0,0,0,0,0,0,0,0,0,0,6,3,3,3,3,3
"6","hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/KerberosAuthenticator.java",3,3,3,1,23,0,18,3,3,2,13,12,12,10,4,12,1,6,1,4,396,37,268,106,163,91,133,174,85,89,7,7,8,6,4,0.34,40,40,47,22,19,472,22,0,0,5,6,6,0,0,0,0,3,0,0,0,1,0,0,0,5,60,20,20,0,0,20,0,0,20,0,0,0,4,26,34,20,4
"7","hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/AuthenticationFilter.java",3,3,3,1,22,0,14,6,2,2,12,24,24,22,10,24,0,0,16,8,696,53,404,124,249,241,182,260,105,155,20,20,26,4,4,0.6,77,77,90,30,16,968,31,3,0,6,10,12,1,0,0,0,5,0,0,0,1,0,0,0,6,83,0,16,0,0,16,0,0,16,0,0,6,6,13,17,9,6
"8","hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/JWTRedirectAuthenticationHandler.java",3,3,4,1,25,0,17,7,1,0,6,10,10,10,4,10,1,1,5,3,357,22,217,80,138,118,112,154,73,81,7,7,7,5,4,0.54,39,39,42,17,7,423,5,0,0,4,4,5,0,0,0,0,4,0,0,0,0,0,1,0,4,100,0,0,0,25,0,0,0,0,0,0,6,4,9,13,7,4
"9","hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/KerberosAuthenticationHandler.java",2,2,2,1,21,0,15,6,3,0,5,12,12,12,4,12,0,1,2,9,359,22,217,82,130,120,102,135,69,66,10,10,12,1,2,0.55,31,31,35,12,16,711,18,0,0,4,4,4,0,0,0,0,2,0,0,0,1,0,0,0,4,50,0,25,0,0,50,0,0,0,0,0,6,4,24,26,22,4
"10","hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/LdapAuthenticationHandler.java",2,2,2,1,15,1,12,2,2,2,7,13,13,11,5,13,0,5,0,8,339,40,210,85,117,91,103,133,65,68,6,6,10,1,2,0.43,29,29,34,13,3,339,1,0,0,3,2,3,0,0,0,1,2,0,0,0,0,0,0,0,3,66,0,0,0,0,0,33,0,0,0,0,6,3,13,18,11,3
