JavaFile,AbortPercent,ReturnPercent,EmptyAction,NestedTryPercent,ThrowNewPercent,ToDoCount,DefaultPercent,LogActionCount,MethodCountPercent,ThrowCurrentPercent,ThrowWrapPercent,TryCallDepth,TryQuantity,TrySLOC,TryLOC,TryInvokeMethod,TryScope
hadoop-tools/hadoop-aliyun/src/main/java/org/apache/hadoop/fs/aliyun/oss/AliyunOSSUtils.java,40,0,20,40,0,20,0,0,20,0,0,0,3,6,6,6,3
hadoop-tools/hadoop-aliyun/src/main/java/org/apache/hadoop/fs/aliyun/oss/AliyunOSSFileSystem.java,85,28,0,0,0,0,28,0,0,0,0,0,8,15,20,8,8
hadoop-tools/hadoop-aliyun/src/main/java/org/apache/hadoop/fs/aliyun/oss/AliyunOSSFileSystemStore.java,100,60,20,0,0,0,0,40,0,0,0,0,8,33,34,26,8
hadoop-tools/hadoop-aliyun/src/main/java/org/apache/hadoop/fs/aliyun/oss/AliyunCredentialsProvider.java,50,0,0,0,0,0,0,0,50,0,0,0,2,3,3,3,2
hadoop-tools/hadoop-aliyun/src/main/java/org/apache/hadoop/fs/aliyun/oss/AliyunOSSInputStream.java,100,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1
hadoop-tools/hadoop-aliyun/src/main/java/org/apache/hadoop/fs/aliyun/oss/AliyunOSSOutputStream.java,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
hadoop-tools/hadoop-aliyun/src/main/java/org/apache/hadoop/fs/aliyun/oss/AliyunOSSCopyFileTask.java,100,0,0,100,0,0,0,0,0,0,0,0,1,1,1,1,1
hadoop-tools/hadoop-aliyun/src/main/java/org/apache/hadoop/fs/aliyun/oss/AliyunOSSFileReaderTask.java,50,0,50,150,0,0,0,0,0,0,0,0,3,8,12,7,3
hadoop-tools/hadoop-aliyun/src/test/java/org/apache/hadoop/fs/aliyun/oss/TestAliyunOSSFileSystemContract.java,100,0,0,0,0,0,66,0,0,0,0,0,9,15,15,9,9
hadoop-tools/hadoop-aliyun/src/test/java/org/apache/hadoop/fs/aliyun/oss/TestAliyunOSSFileSystemStore.java,100,0,0,0,0,100,0,0,100,0,0,0,1,1,1,1,1
hadoop-tools/hadoop-aliyun/src/test/java/org/apache/hadoop/fs/aliyun/oss/TestAliyunCredentials.java,50,0,0,0,0,0,50,0,0,0,0,0,1,3,3,1,1
hadoop-tools/hadoop-aliyun/src/test/java/org/apache/hadoop/fs/aliyun/oss/contract/TestAliyunOSSContractRootDir.java,50,0,0,0,0,100,0,0,0,0,0,0,2,3,3,2,2
hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/RootDocProcessor.java,100,0,0,0,0,100,0,0,0,0,0,0,1,1,1,1,1
hadoop-tools/hadoop-archive-logs/src/main/java/org/apache/hadoop/tools/HadoopArchiveLogs.java,80,0,40,0,0,40,0,0,60,0,80,1,8,52,56,43,8
hadoop-tools/hadoop-archive-logs/src/main/java/org/apache/hadoop/tools/HadoopArchiveLogsRunner.java,100,0,0,0,0,100,0,0,100,0,100,1,2,9,9,7,2
hadoop-tools/hadoop-archive-logs/src/test/java/org/apache/hadoop/tools/TestHadoopArchiveLogs.java,0,0,0,0,0,0,0,0,0,0,0,1,2,42,43,41,2
hadoop-tools/hadoop-archive-logs/src/test/java/org/apache/hadoop/tools/TestHadoopArchiveLogsRunner.java,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1
hadoop-tools/hadoop-archives/src/main/java/org/apache/hadoop/tools/HadoopArchives.java,83,16,0,0,0,16,0,0,16,0,16,10,9,44,61,40,9
hadoop-tools/hadoop-archives/src/test/java/org/apache/hadoop/tools/TestHadoopArchives.java,100,0,50,0,0,0,100,0,50,0,0,10,12,70,102,41,12
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/KerberosAuthenticator.java,60,20,20,0,0,20,0,0,20,0,0,0,4,26,34,20,4
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/AuthenticatedURL.java,100,0,0,0,0,0,0,0,0,0,0,6,3,3,3,3,3
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/MultiSchemeAuthenticationHandler.java,100,0,0,0,0,0,0,0,0,0,0,6,1,7,7,6,1
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/KerberosAuthenticationHandler.java,50,0,25,0,0,50,0,0,0,0,0,6,4,24,26,22,4
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/LdapAuthenticationHandler.java,66,0,0,0,0,0,33,0,0,0,0,6,3,13,18,11,3
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/AuthenticationFilter.java,83,0,16,0,0,16,0,0,16,0,0,6,6,13,17,9,6
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/JWTRedirectAuthenticationHandler.java,100,0,0,0,25,0,0,0,0,0,0,6,4,9,13,7,4
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java,100,0,0,0,0,0,0,0,0,0,0,6,3,5,5,5,3
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/FileSignerSecretProvider.java,50,0,0,0,50,0,50,0,0,0,0,6,2,6,6,6,2
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosUtil.java,71,0,0,0,0,0,28,0,0,0,0,2,5,8,8,7,5
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/Signer.java,100,0,0,0,0,0,0,0,0,0,0,2,1,5,5,4,1
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/ZKSignerSecretProvider.java,75,0,0,0,0,0,0,0,0,0,0,2,3,16,19,11,3
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/CertificateUtil.java,50,0,0,0,0,0,0,0,0,0,0,2,1,4,4,4,1
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/KerberosTestUtils.java,100,0,0,0,0,100,0,0,0,0,0,2,1,7,7,5,1
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestAuthenticatedURL.java,50,0,0,0,0,50,0,0,0,0,0,2,1,2,2,2,1
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/AuthenticatorTestCase.java,50,0,0,0,0,0,50,0,50,0,0,2,5,26,30,23,5
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestKerberosAuthenticator.java,0,0,0,0,0,0,0,0,0,0,0,2,2,10,10,10,2
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestPseudoAuthenticator.java,0,0,0,0,0,0,0,0,0,0,0,2,2,10,10,10,2
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestAuthenticationFilter.java,80,0,40,0,0,20,20,0,0,0,0,2,22,294,294,263,22
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestLdapAuthenticationHandler.java,66,0,0,0,0,33,33,0,33,0,0,2,2,3,3,3,2
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestPseudoAuthenticationHandler.java,0,0,0,0,0,0,0,0,0,0,0,2,4,29,29,29,4
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestJWTRedirectAuthenticationHandler.java,50,0,0,0,0,0,0,0,0,0,0,2,10,133,135,130,10
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestAltKerberosAuthenticationHandler.java,100,0,0,0,0,0,0,0,50,0,0,2,2,2,2,2,2
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestKerberosAuthenticationHandler.java,62,0,0,0,0,25,37,0,12,0,0,2,6,19,19,17,6
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestMultiSchemeAuthenticationHandler.java,66,0,0,0,0,0,33,0,33,0,0,2,2,3,3,3,2
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestRandomSignerSecretProvider.java,0,0,0,0,0,0,0,0,0,0,0,2,1,25,25,25,1
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestKerberosUtil.java,66,0,0,0,0,0,66,0,0,0,0,2,2,4,4,4,2
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestSigner.java,44,0,0,0,0,44,44,0,0,0,0,2,5,10,11,10,5
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestAuthToken.java,14,0,0,0,0,50,14,0,0,0,0,2,7,14,14,8,7
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestRolloverSignerSecretProvider.java,0,0,0,0,0,0,0,0,0,0,0,2,1,22,22,22,1
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestZKSignerSecretProvider.java,0,0,0,0,0,0,0,0,0,0,0,2,4,110,110,110,4
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestCertificateUtil.java,100,0,0,0,0,0,0,0,0,0,0,2,3,7,7,4,3
hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/util/TestKerberosName.java,100,0,0,0,0,0,100,0,0,0,0,2,1,2,2,1,1
hadoop-common-project/hadoop-auth-examples/src/main/java/org/apache/hadoop/security/authentication/examples/RequestLoggerFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1
hadoop-common-project/hadoop-auth-examples/src/main/java/org/apache/hadoop/security/authentication/examples/WhoClient.java,100,0,0,0,0,0,0,0,0,0,0,0,1,10,10,9,1
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3ABlockOutputStream.java,66,33,0,0,0,50,0,16,0,0,0,0,8,17,31,14,8
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AUtils.java,90,30,0,0,0,10,0,0,0,0,0,0,9,21,26,16,9
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/TemporaryAWSCredentialsProvider.java,100,0,0,0,0,0,0,0,0,0,0,0,1,5,6,4,1
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/Listing.java,100,0,0,0,0,0,0,0,0,0,0,0,1,5,7,4,1
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/DefaultS3ClientFactory.java,100,0,0,0,0,100,0,0,100,0,0,0,1,1,1,1,1
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/WriteOperationHelper.java,100,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/AWSCredentialProviderList.java,100,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1
