JavaFile,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
hadoop-client-modules/hadoop-client-integration-tests/src/test/java/org/apache/hadoop/example/ITUseMiniCluster.java,1,1,1,1,7,0,7,0,1,0,4,5,5,5,1,5,0,0,0,5,115,18,74,38,32,23,35,47,32,15,2,2,2,1,1,0.31,7,7,7,5
hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/InterfaceAudience.java,1,1,1,1,1,0,1,1,4,0,0,1,2,2,0,2,1,1,0,0,73,5,20,19,0,49,8,10,10,0,1,1,1,1,0,2.45,1,1,1,1
hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/InterfaceStability.java,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,65,5,20,19,0,40,10,11,11,0,0,0,0,0,0,2,0,0,0,0
hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/ExcludePrivateAnnotationsJDiffDoclet.java,1,1,1,1,5,0,5,0,1,4,0,4,4,0,0,4,0,0,0,4,59,7,28,13,11,24,14,20,12,8,2,2,2,1,1,0.86,5,5,5,4
hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/ExcludePrivateAnnotationsStandardDoclet.java,1,1,1,1,5,0,5,0,1,4,0,4,4,0,0,4,0,0,0,4,58,6,28,13,11,24,14,20,12,8,2,2,2,1,1,0.86,5,5,5,4
hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/IncludePublicAnnotationsJDiffDoclet.java,1,1,1,1,5,0,5,0,1,4,0,4,4,0,0,4,0,0,0,4,64,7,29,13,12,28,15,21,12,9,2,2,2,1,1,0.97,5,5,5,4
hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/IncludePublicAnnotationsStandardDoclet.java,1,1,1,1,5,0,5,0,1,4,0,4,4,0,0,4,0,0,0,4,63,6,29,13,12,28,15,21,12,9,2,2,2,1,1,0.97,5,5,5,4
hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/RootDocProcessor.java,6,6,7,5,19,0,19,0,2,5,3,9,9,4,1,9,0,6,0,3,251,19,209,54,130,23,83,143,52,91,26,26,30,24,4,0.11,56,56,66,45
hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/StabilityOptions.java,4,4,5,2,12,0,12,0,1,3,3,3,3,0,0,3,0,0,0,3,70,7,46,18,27,17,27,42,20,22,5,5,6,4,2,0.37,13,13,15,6
hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/package-info.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,4,4,0,17,2,2,2,0,0,0,0,0,0,4.25,0,0,0,0
hadoop-common-project/hadoop-auth-examples/src/main/java/org/apache/hadoop/security/authentication/examples/RequestLoggerFilter.java,1,1,1,1,7,0,7,0,3,0,1,15,15,15,3,15,0,1,0,14,195,21,148,67,65,26,75,105,56,49,5,5,5,1,2,0.18,24,24,25,15
hadoop-common-project/hadoop-auth-examples/src/main/java/org/apache/hadoop/security/authentication/examples/WhoClient.java,5,5,5,1,31,0,31,0,1,1,0,1,1,0,0,1,0,0,0,1,60,4,40,15,24,16,24,30,14,16,5,5,5,1,3,0.4,5,5,5,1
